character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
阿,a1,7,277856,598454,-0.366,501181,87732,79767,105630,85218,17032,1561.312,427.961,381.660,510.290,507.250,189.244,596.286,3.224,217.180,3.661,3.1250,3.3,2.4
啊,a1,10,2726,5330,-0.323,849,675,1067,2578,2425,460,2.645,3.293,5.105,12.454,14.435,5.111,7.174,5.088,263.742,3.577,2.5625,2.8,2.0
皑,ai2,11,392,640,-0.240,78,126,257,254,212,105,0.243,0.615,1.230,1.227,1.262,1.167,0.957,5.708,3.087,5.389,3.7500,3.3,3.6
蔼,ai3,14,1735,7691,-0.632,2455,902,1106,1411,2286,1258,7.648,4.400,5.292,6.816,13.607,13.978,8.624,5.017,5.852,5.164,4.0000,4.3,2.9
霭,ai3,19,496,2499,-0.669,748,230,305,548,758,418,2.330,1.122,1.459,2.647,4.512,4.644,2.786,5.422,2.187,5.497,3.7500,3.6,3.0
艾,ai4,5,60098,247092,-0.609,94001,67663,55262,32865,29895,27476,292.838,330.063,264.411,158.768,177.946,305.289,254.886,3.592,27.075,4.552,3.5000,3.5,3.0
爱,ai4,10,1443486,8347869,-0.705,3447308,2786913,2302717,888139,284567,80397,10739.277,13594.698,11017.785,4290.527,1693.851,893.300,7038.240,2.152,504.846,3.296,4.4375,4.6,2.8
叆,ai4,14,11,34,-0.511,6,2,6,9,9,13,0.019,0.010,0.029,0.043,0.054,0.144,0.050,5.979,0.000,6.000,3.0000,3.1,2.5
安,an1,6,4610624,1114890,0.611,2305421,1233734,871545,559071,461366,292854,7181.997,6018.215,4170.072,2700.826,2746.226,3253.933,4345.212,2.362,633.791,3.197,4.5625,4.3,3.5
桉,an1,10,4250,1711,0.426,108,137,257,720,1799,2940,0.336,0.668,1.230,3.478,10.708,32.667,8.181,5.037,3.409,5.356,3.4375,3.4,3.2
谙,an1,11,124,134,-0.039,12,19,24,33,73,97,0.037,0.093,0.115,0.159,0.435,1.078,0.320,5.879,2.572,5.447,3.1875,3.2,3.2
岸,an4,8,22487,11265,0.332,2388,3330,7153,10446,7977,2440,7.439,16.244,34.225,50.464,47.482,27.111,30.494,4.502,114.282,3.938,3.4375,3.3,3.3
昂,ang2,8,114849,10247,0.836,7707,5057,7526,18131,39664,46939,24.009,24.668,36.010,87.589,236.095,521.544,154.986,3.807,35.693,4.435,4.3750,3.7,3.9
敖,ao2,10,17441,2114,0.784,8147,1490,1022,1451,3583,3860,25.380,7.268,4.890,7.010,21.327,42.889,18.127,4.718,2.444,5.463,3.4375,2.8,3.6